filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.286.1587944984.611_1.2.840.113619.2.278.3.717616.286.1587944984.616.3_standardized.nii.gz,-4048.0,1238.3116455078125,0.0,0.217618,0.794384,0.869483,0.887072,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2010.2,-966.8,-828.4,-999.0,-995.3,-969.8,-731.9,-421.2
1.2.840.113619.2.278.3.717616.286.1587944984.611_1.2.840.113619.2.278.3.717616.286.1587944984.696.4198401_standardized.nii.gz,-4048.0,1682.4588623046875,0.0,0.217621,0.797382,0.866217,0.879721,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2010.1,-954.0,-790.6,-998.4,-992.5,-959.3,-732.6,-458.9
1.2.840.113619.2.278.3.717616.286.1587944984.611_1.2.840.113619.2.278.3.717616.286.1587944984.696.4202498_standardized.nii.gz,-4048.0,1682.489013671875,0.0,0.217621,0.797637,0.865017,0.877111,1e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2009.9,-938.8,-816.9,-998.1,-991.1,-950.3,-737.8,-448.7
1.2.840.113619.2.278.3.717616.286.1593493247.138_1.2.840.113619.2.278.3.717616.286.1593493247.143.3_standardized.nii.gz,-4048.0,2009.7359619140625,0.0,0.217611,0.655653,0.83346,0.86537,5e-06,1e-06,0.0,0.0,-4048.0,-4048.0,-1967.1,-960.7,-737.0,-999.2,-996.2,-969.5,-667.8,-382.0
1.2.840.113619.2.278.3.717616.286.1593493247.138_1.2.840.113619.2.278.3.717616.286.1593493247.251.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217615,0.655654,0.824196,0.848993,5e-06,1e-06,0.0,0.0,-4048.0,-4048.0,-1967.9,-925.1,-719.1,-998.7,-993.9,-951.4,-676.0,-402.4
1.2.840.113619.2.278.3.717616.286.1593493247.138_1.2.840.113619.2.278.3.717616.286.1593493247.251.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217598,0.656529,0.82433,0.848994,5e-06,1e-06,0.0,0.0,-4048.0,-4048.0,-1967.2,-923.5,-723.3,-998.7,-993.9,-950.1,-676.1,-403.4
1.2.840.113619.2.278.3.717616.286.1593493249.833_1.2.840.113619.2.278.3.717616.286.1593493249.838.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217665,0.721141,0.790724,0.819371,1.4e-05,1e-05,5e-06,0.0,-4048.0,-4048.0,-1971.9,-952.3,-581.3,-999.0,-995.2,-968.0,-552.9,-142.2
1.2.840.113619.2.278.3.717616.286.1593493249.833_1.2.840.113619.2.278.3.717616.286.1593493249.959.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217776,0.71246,0.781157,0.805895,2e-05,1.5e-05,8e-06,0.0,-4048.0,-4048.0,-1976.2,-940.3,-610.0,-998.6,-993.5,-963.4,-602.1,-171.4
1.2.840.113619.2.278.3.717616.286.1593493249.833_1.2.840.113619.2.278.3.717616.286.1593493249.959.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217678,0.718744,0.779147,0.801243,1.4e-05,1e-05,4e-06,0.0,-4048.0,-4048.0,-1970.7,-926.0,-573.0,-998.3,-992.2,-956.6,-571.3,-156.1
1.2.840.113619.2.278.3.717616.286.1593493262.858_1.2.840.113619.2.278.3.717616.286.1593493262.863.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.21772,0.65772,0.809404,0.83964,1.9e-05,1.3e-05,6e-06,0.0,-4048.0,-4048.0,-1976.7,-959.4,-718.4,-999.1,-995.8,-969.5,-659.2,-195.6
1.2.840.113619.2.278.3.717616.286.1593493262.858_1.2.840.113619.2.278.3.717616.286.1593493262.956.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217746,0.661263,0.805466,0.829991,1.8e-05,1.4e-05,7e-06,0.0,-4048.0,-4048.0,-1980.1,-948.8,-701.4,-998.7,-994.0,-963.5,-668.4,-212.1
1.2.840.113619.2.278.3.717616.286.1593493262.858_1.2.840.113619.2.278.3.717616.286.1593493262.956.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217754,0.664514,0.805014,0.82794,1.9e-05,1.5e-05,8e-06,0.0,-4048.0,-4048.0,-1983.5,-930.0,-710.2,-998.6,-993.3,-958.8,-670.4,-212.7
1.2.840.113619.2.278.3.717616.286.1593493267.487_1.2.840.113619.2.278.3.717616.286.1593493267.492.3_standardized.nii.gz,-4048.0,1793.008056640625,0.0,0.217593,0.721309,0.87532,0.897527,2e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2000.6,-968.7,-821.9,-999.2,-996.0,-969.4,-701.5,-375.1
1.2.840.113619.2.278.3.717616.286.1593493267.487_1.2.840.113619.2.278.3.717616.286.1593493267.603.4198401_standardized.nii.gz,-4048.0,1455.12353515625,0.0,0.217608,0.71434,0.863764,0.88132,2e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2001.2,-948.3,-777.4,-998.7,-993.7,-955.9,-691.4,-393.0
1.2.840.113619.2.278.3.717616.286.1593493267.487_1.2.840.113619.2.278.3.717616.286.1593493267.603.4202498_standardized.nii.gz,-4048.0,1906.6966552734375,0.0,0.217601,0.720525,0.867348,0.883828,4e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2001.1,-942.1,-805.2,-998.6,-993.3,-952.4,-712.0,-391.8
1.2.840.113619.2.278.3.717616.286.1593493269.25_1.2.840.113619.2.278.3.717616.286.1593493269.109.4198401_standardized.nii.gz,-4048.0,2028.66015625,0.0,0.217584,0.703725,0.866292,0.886245,3e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2005.2,-958.4,-775.5,-998.9,-994.6,-962.4,-682.7,-318.4
1.2.840.113619.2.278.3.717616.286.1593493269.25_1.2.840.113619.2.278.3.717616.286.1593493269.109.4202498_standardized.nii.gz,-4048.0,1995.5989990234375,0.0,0.217581,0.702159,0.861026,0.878961,2e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2005.0,-939.6,-786.7,-998.6,-993.3,-951.2,-687.5,-321.3
1.2.840.113619.2.278.3.717616.286.1593493269.25_1.2.840.113619.2.278.3.717616.286.1593493269.30.3_standardized.nii.gz,-4048.0,2033.3065185546875,0.0,0.217605,0.705417,0.871333,0.895667,2e-06,0.0,0.0,0.0,-4048.0,-4048.0,-2003.7,-970.3,-807.4,-999.2,-996.3,-971.5,-667.0,-297.8
